1,0.162690258025,increases the absorption of
1,0.154264123987,promotes the absorption of
1,0.142372487681,improves the absorption of
1,0.136287606251,helps the absorption of
1,0.135078553379,is needed for
1,0.128985394702,facilitates the absorption of
1,0.122707674845,helps absorb
1,0.121633474186,helps absorption of
1,0.117225061259,enhances the absorption of
1,0.116926585359,aids the absorption of
2,0.00132646126747,works synergistically with
2,0.000945103653076,is a cofactor of
2,0.00093233266999,works very closely with
2,0.000932057948613,has an inverse relationship with
2,0.000932057948613,is FAR more important than
2,0.000920139058386,enhances the bioavailability of
2,0.00089974936801,is needed to balance
2,0.000874108988797,is best taken with
2,0.000863356038607,is needed to process
2,0.000846074451097,must be balanced with
3,4.99829979111e-06,acts synergistically with
3,3.37388879541e-06,also enhances the absorption of
3,3.37388879541e-06,can enhance the effects of
3,2.70344358327e-06,must be exercised with
3,2.7012140894e-06,always imply
3,2.7012140894e-06,are intertwined with
3,2.69525299291e-06,go together with
3,2.65820842122e-06,do not exist without
3,2.6334057174e-06,do come with
3,2.56211228548e-06,also involve
4,1.28176233224e-08,improves the effectiveness of
4,1.27873043464e-08,potentiates the action of
4,1.26926180517e-08,may act on
4,1.26231732554e-08,may increase the effectiveness of
4,1.24666610859e-08,also improves the effectiveness of
4,1.21861137526e-08,boosts the activity of
4,1.21861137526e-08,is needed to activate
4,1.1972554173e-08,enhances the effect of
4,1.17323217538e-08,increases the activity of
4,1.15338410204e-08,can reduce the need for
5,4.93840087231e-11,extends the effects of
5,4.68184538054e-11,has been shown to enhance
5,4.52942765737e-11,is also a constituent of
5,3.55497639756e-11,is a component of
5,3.46612945057e-11,potentiates the effects of
5,3.37483030723e-11,is essential for making
5,3.33121948729e-11,is needed to create
5,3.04496955599e-11,is also closely allied with
5,2.97923447811e-11,increases production of
5,2.91723620504e-11,is also an integral part of
6,2.42238800915e-13,is a major component of
6,2.04353539075e-13,is significantly lower than
6,1.83749863044e-13,is an important component of
6,1.77967261916e-13,is also a key component of
6,1.68194173037e-13,is sweeter than
6,1.61697686201e-13,is also a component of
6,1.29071731086e-13,is an essential part of
6,1.23916968131e-13,provides the building blocks for
6,1.19696422592e-13,is a basic component of
6,1.11664707472e-13,is a critical component of
7,3.95908082927e-15,is an essential component of
7,3.45327449702e-15,is a constituent of
7,2.85294845019e-15,is a vital component of
7,2.70469717105e-15,is the main component of
7,2.20586308923e-15,is the primary constituent of
7,2.09917115335e-15,is a key component of
7,2.09060058014e-15,is the central component of
7,2.05555522018e-15,is an important part of
7,1.98435767474e-15,is a necessary component of
7,1.9821038799e-15,is found in
8,5.45085603605e-17,is the major component of
8,4.42317950383e-17,forms part of
8,4.13592283207e-17,is an important constituent of
8,3.79820172718e-17,is an essential cofactor of
8,3.37896389066e-17,is an integral part of
8,2.94068872064e-17,is an active component of
8,2.90235813188e-17,is an essential factor for
8,2.89533493794e-17,is a component in
8,2.80891195927e-17,is the cofactor for
8,2.79536304558e-17,is the key component of
9,3.62879722155e-19,is a compound found in
9,3.35795922265e-19,is used to repair
9,3.1332313231e-19,is an antioxidant found in
9,3.08857341354e-19,is the building block of
9,3.07761401403e-19,is the active ingredient in
9,2.86093224992e-19,is an ingredient in
9,3.01288900455e-19,is the active component of
9,2.20860170532e-19,is the ingredient in
9,2.15396214591e-19,is the main active ingredient of
9,2.10751414575e-19,is a pigment found in
10,5.8981525342e-21,is the generic name for
10,4.1105884178e-21,is the active ingredient of
10,2.97499072342e-21,is better known as
10,2.79268591163e-21,is the building blocks for
10,2.72853583993e-21,is the generic name of
10,2.02800399065e-21,is a main ingredient of
10,2.02031740928e-21,is the name in
10,1.98136376872e-21,was originally sold as
10,1.9629261712e-21,is the alkaloid of
10,1.93066899141e-21,is the popular name for
11,6.26348016436e-23,is the generic version of
11,3.57232049698e-23,is the generic form of
11,3.38940564044e-23,will start taking
11,3.00276407288e-23,should not be able to take
11,2.86724811798e-23,may be eligible for
11,2.84521276294e-23,only responds to
11,2.78327459648e-23,is more popularly known as
11,2.75087832189e-23,is the medical term used for
11,2.74270825288e-23,is the clinical name for
11,2.56311084335e-23,is a generic for
12,7.43346546556e-25,is the generic equivalent of
12,4.51066896526e-25,is the preferred alternative to
12,3.47721559677e-25,is the generic of
12,3.32614199081e-25,is the chemical name for
12,3.29379733794e-25,is a direct copy of
12,3.23050839544e-25,is a cheaper alternative to
12,3.19810523594e-25,is a safe alternative to
12,3.08207389799e-25,is chemically identical to
12,2.98860455334e-25,is a popular alternative to
12,2.6290245712e-25,is almost like
13,5.07431207516e-27,marketed as
13,3.82457272189e-27,was restarted on
13,3.56226736317e-27,is a prescription for
13,2.89421897552e-27,is a low-dose form of
13,2.52532784118e-27,is commonly labelled
13,2.51158316898e-27,is a very effective form of
13,2.37586516073e-27,had been taking
13,2.24898323951e-27,is just generic for
13,2.19523233317e-27,is generic for
13,1.99407380936e-27,may interact with
14,2.23325126915e-29,prescribed
14,2.2067686073e-29,is only for
14,2.15072199859e-29,is true not only for
14,1.91159287278e-29,was prescribed
14,1.63713416144e-29,was on
14,1.53651107905e-29,may be taking
14,1.51039730484e-29,does not change with
14,1.48696034221e-29,does n't work for
14,1.44197988151e-29,is the use of
14,1.35315415287e-29,get info on
15,2.40262928094e-31,was switched to
15,2.28239800532e-31,went on
15,2.25889339539e-31,was then switched to
15,1.94571922553e-31,had been on
15,1.6385655596e-31,was put on
15,1.63667159337e-31,is really only for
15,1.58867305534e-31,would have been on
15,1.45755896463e-31,is a very small amount of
15,1.45589801508e-31,was now on
15,1.42103816773e-31,was started on
16,2.53447522233e-33,may not be able to take
16,2.19510104726e-33,is important to take
16,1.846268065e-33,was leary of
16,1.73278821848e-33,is a trade name for
16,1.54600445428e-33,was told to take
16,1.53987496163e-33,is very involved with
16,1.52873108648e-33,may be used while taking
16,1.47672562901e-33,said to try
16,1.35068879012e-33,could have been on
16,1.33119967069e-33,was just an abbreviation for
17,2.75644233851e-35,may also interact with
17,1.47008123558e-35,was also started on
17,1.0881653253e-35,is no problem with
17,1.08225864963e-35,was able to use
17,1.03255563685e-35,is okay to take
17,1.00211072083e-35,is weaker than
17,9.45866745383e-36,had a problem with
17,9.43224935521e-36,has been on
17,9.37296529504e-36,has been taking
17,9.30454538619e-36,was allergic to
18,3.16272771303e-37,was taking
18,1.73826694795e-37,was doing fine on
18,1.27782535957e-37,provided a prescription for
18,1.24876674238e-37,had previously been on
18,1.1924245233e-37,ca n't take
18,1.19170618407e-37,was running low on
18,1.14617052774e-37,could stay on
18,1.12150868515e-37,is a dose of
18,1.08037748011e-37,prefers
18,1.0089631324e-37,is the same as
19,2.06272903537e-39,has a prescription for
19,1.56546447873e-39,was given a prescription for
19,1.39521078174e-39,was recently put on
19,1.32790320156e-39,does not stop taking
19,9.5869632919e-40,will be interested in
19,9.40408474303e-40,has side effects of
19,9.40408474303e-40,is likely to be on
19,9.28394344524e-40,had given up on
19,9.01886990965e-40,has filled
19,8.29939500972e-40,had a thread about
20,8.06339585723e-42,is typically prescribed for
20,7.90004368733e-42,is the use for
20,7.09857984532e-42,is the case of
20,6.97083638326e-42,is a synthetic derivative of
20,6.34952462276e-42,is marketed as
20,6.18326305754e-42,had been taken with
20,5.70912710296e-42,may increase the effects of
20,5.39487195739e-42,is still against
20,5.37042739961e-42,was just put on
20,5.35086070454e-42,is hallowed
21,5.10949428626e-44,was having to
21,3.51027792851e-44,could be prescribed for
21,3.35157604208e-44,is the history of
21,3.31940546445e-44,is a more potent form of
21,3.27792287452e-44,is not a derivative of
21,3.16668478912e-44,may decrease the effects of
21,2.7919274094e-44,is prescribed for
21,2.47073441957e-44,was taken off of
21,2.40600210608e-44,is a good dose of
21,2.35121694508e-44,is not the case of
22,1.73628607296e-46,is a surefire-cure to
22,1.58002378071e-46,had been approved for
22,1.50794190792e-46,should be used to treat
22,1.35285788694e-46,is used to treat
22,1.25213513541e-46,also helps relieve
22,1.20075664088e-46,did n't come from
22,1.19536317065e-46,has been infiltrated by
22,1.16760911444e-46,is a great compliment to
22,1.15998324398e-46,is significantly different from
22,1.15629191679e-46,is more dynamic than
